ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,DATE
O20020813000008,KS,00-08,PART A PROVIDER - HOSPICE,1144260498,N,171523,3274440268,HOSPITAL DISTRICT NO 1 OF DICKINSON COUNTY KANSAS,HOSPICE OF DICKINSON COUNTY,12/07/1959,KS,OTHER,GOVERNMENTAL,N,1111 N BRADY ST,STE B,ABILENE,KS,674101804,01/2025
O20020813000010,PA,00-08,PART A PROVIDER - HOSPICE,1053393447,N,391518,3476461872,"CENTRE HOMECARE, INC.",CENTRE CROSSINGS HOSPICE,02/01/1965,PA,CORPORATION,,N,2437 COMMERCIAL BLVD,STE 280,STATE COLLEGE,PA,168017454,01/2025
O20020820000009,PA,00-08,PART A PROVIDER - HOSPICE,1548201957,N,391551,4789591710,GENERAL CARE SERVICES INC,HOSPICE OF WARREN COUNTY,03/06/1979,PA,CORPORATION,,N,1 MAIN AVE,,WARREN,PA,163652116,01/2025
O20020823000006,OR,00-08,PART A PROVIDER - HOSPICE,1841221306,N,381546,2365359296,MORROW COUNTY HEALTH DISTRICT,PIONEER MEMORIAL HOSPICE,,OR,OTHER,DISTRICT,N,162 N MAIN ST,,HEPPNER,OR,978365001,01/2025
O20020823000007,MO,00-08,PART A PROVIDER - HOSPICE,1215084876,N,261586,2264349109,SAFE HARBOR HOSPICE LLC,"LEGACY OPERATING COMPANY, LLC",01/07/2000,MO,LLC,,P,101 KINGSBURY BLVD,,FREDERICKTOWN,MO,636457959,01/2025
O20020916000026,CA,00-08,PART A PROVIDER - HOSPICE,1366449951,N,51567,8820905854,SNOWLINE HOSPICE OF EL DORADO COUNTY,,03/13/1980,CA,CORPORATION,,N,6520 PLEASANT VALLEY RD,,DIAMOND SPRINGS,CA,956199512,01/2025
O20020926000017,NE,00-08,PART A PROVIDER - HOSPICE,1265433247,N,281528A,4385551035,ODYSSEY HEALTHCARE OPERATING A LP,GENTIVA I,,,PARTNERSHIP,,P,444 REGENCY PARKWAY DR,STE 200,OMAHA,NE,681143779,01/2025
O20021009000011,MO,00-08,PART A PROVIDER - HOSPICE,1417068461,N,261578,6204743867,"CHRISTIAN HEALTH CARE HOSPICE, INC.",REGIONAL HOSPICE,02/20/2001,MO,CORPORATION,,P,3405 W MOUNT VERNON ST,STE 100,SPRINGFIELD,MO,658025241,01/2025
O20021014000008,PA,00-08,PART A PROVIDER - HOSPICE,1881764736,N,391535,547178147,VISITING NURSE ASSOCIATION OF SAINT LUKES HOME HEALTH/HOSPICE INC.,ST. LUKE'S HOSPICE,11/30/1931,PA,CORPORATION,,N,240 UNION STATION PLZ,,BETHLEHEM,PA,180151281,01/2025
O20021023000019,VA,00-08,PART A PROVIDER - HOSPICE,1629025911,N,491557,143138628,TOTAL HOME HEALTH CARE INC,MEDICAL SERVICES OF AMERICA HOME HEALTH AND HOSPICE,01/10/1996,VA,CORPORATION,,P,1935 FRONT ST,,RICHLANDS,VA,246412350,01/2025
O20021024000008,MA,00-08,PART A PROVIDER - HOSPICE,1366420861,N,221554,1658289137,"VISITING NURSE ASSOCIATION OF CAPE COD, INC.",VISITING NURSE ASSOCIATION OF CAPE COD HOSPICE,01/01/1998,MA,CORPORATION,,N,25 COMMUNICATION WAY,,HYANNIS,MA,26018137,01/2025
O20021028000017,NH,00-08,PART A PROVIDER - HOSPICE,1831163211,N,301512,4880502301,"WENTWORTH HOME CARE AND HOSPICE, LLC","WENTWORTH HOME CARE & HOSPICE, AN AMEDISYS PARTNER",05/29/2002,NH,LLC,,P,9 ANDREWS RD,,SOMERSWORTH,NH,38781042,01/2025
O20021107000034,PA,00-08,PART A PROVIDER - HOSPICE,1437254893,N,391606,4385552785,VISITING NURSE ASSOCIATION OF CENTRAL PA INC,CROSSINGS HOSPICE OF THE VNA,01/01/1995,PA,CORPORATION,,N,3315 DERRY ST,,HARRISBURG,PA,171111811,01/2025
O20021115000022,MO,00-08,PART A PROVIDER - HOSPICE,1497857551,N,261595,1850209214,GOOD SHEPHERD HOSPICE OF MID-AMERICA INC,,04/24/2001,OK,CORPORATION,,P,123 W KANSAS AVE,,INDEPENDENCE,MO,640503732,01/2025
O20021121000041,IA,00-08,PART A PROVIDER - HOSPICE,1609873769,N,161569,1759299050,"HOSPICE OF JACKSON COUNTY,INC",,11/18/2001,IA,CORPORATION,,N,611 W QUARRY ST,,MAQUOKETA,IA,520602125,01/2025
O20021125000018,KS,00-08,PART A PROVIDER - HOSPICE,1619918679,N,171503,4486562709,HOSPICE OF RENO COUNTY INC,HOSPICE AND HOMECARE OF RENO COUNTY,09/15/1981,KS,CORPORATION,,N,2020 N WALDRON ST,STE 100,HUTCHINSON,KS,675021100,01/2025
O20021126000018,PA,00-08,PART A PROVIDER - HOSPICE,1275585218,N,391634,5092623322,"MEDI HOME HEALTH AGENCY, INC.",MEDI HOME HOSPICE,01/16/1996,PA,CORPORATION,,P,201 PENN CENTER BLVD,STE 300,PITTSBURGH,PA,152355407,01/2025
O20021206000017,CA,00-08,PART A PROVIDER - HOSPICE,1669474987,N,51759,9133037310,ROZE ROOM HOSPICE OF THE VALLEY INC,ROZE ROOM HOSPICE OF THE VALLEY,07/25/2002,CA,CORPORATION,,P,18107 SHERMAN WAY,STE 200,RESEDA,CA,913358802,01/2025
O20021209000013,ID,00-08,PART A PROVIDER - HOSPICE,1396891412,N,131541,2062320252,"NINERGK, LLC",ASPEN HOME HEALTH AND HOSPICE,06/05/2002,ID,LLC,,P,3480 WASHINGTON PKWY,,IDAHO FALLS,ID,834047579,01/2025
O20021212000001,MO,00-08,PART A PROVIDER - HOSPICE,1649265166,N,261550,1153239371,THE AMERICAN HEARTLAND HOSPICE CORP.,GENTIVA,10/28/1994,MO,CORPORATION,,P,12125 WOODCREST EXECUTIVE DR,STE 220,SAINT LOUIS,MO,631415010,01/2025
O20021218000012,PA,00-08,PART A PROVIDER - HOSPICE,1295750875,N,391642,4082522149,WAYNE MEMORIAL HOSPITAL,"WAYNE HEALTH SERVICES, INC.",04/09/1907,PA,CORPORATION,,N,116 W 11TH ST,,HONESDALE,PA,184311902,01/2025
O20021218000027,OR,00-08,PART A PROVIDER - HOSPICE,1093717340,N,381503,5092623173,MT. HOOD HOSPICE,,07/12/1980,OR,CORPORATION,,N,39085 PIONEER BLVD,STE 1018,SANDY,OR,970558081,01/2025
O20021226000014,MD,00-08,PART A PROVIDER - HOSPICE,1710064878,N,211511,8729996848,"HOSPICE OF WASHINGTON COUNTY, INC",,06/16/1980,MD,CORPORATION,,N,1710 UNDERPASS WAY,STE 300,HAGERSTOWN,MD,217408158,01/2025
O20021226000020,IA,00-08,PART A PROVIDER - HOSPICE,1063485365,N,161502,2264340389,HOSPICE OF SIOUXLAND,MERCYONE SIOUXLAND MEDICAL CENTER,03/27/1997,IA,CORPORATION,,N,309 COOK ST,,SIOUX CITY,IA,511033707,01/2025
O20021227000009,CO,00-08,PART A PROVIDER - HOSPICE,1326041252,N,61510,8325956451,SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE,SANGRE DE CRISTO COMMUNITY CARE,08/23/1984,CO,CORPORATION,,N,1920 VALLEY DR,,PUEBLO,CO,810081764,01/2025
O20030106000018,MT,00-08,PART A PROVIDER - HOSPICE,1992862718,N,271500,2769390756,PARTNERS IN HOME CARE INC,,08/11/1987,MT,CORPORATION,,N,2673 PALMER ST,STE 201,MISSOULA,MT,598081783,01/2025
O20030108000011,MI,00-08,PART A PROVIDER - HOSPICE,1629011168,N,231521,8628985215,MCLAREN HEALTH MANAGEMENT GROUP,MCLAREN HOSPICE,10/01/1999,MI,CORPORATION,,N,1515 CAL DR,,DAVISON,MI,484239016,01/2025
O20030115000001,MD,00-08,PART A PROVIDER - HOSPICE,1386667277,N,211541,4486562394,CAPITAL HOSPICE,CAPITAL CARING,11/18/1998,VA,CORPORATION,,N,9885 GREENBELT RD,FL 3,LANHAM,MD,207062302,01/2025
O20030115000002,DC,00-08,PART A PROVIDER - HOSPICE,1790706935,N,91501,4486562394,CAPITAL HOSPICE,CAPTIAL CARING,11/18/1998,VA,CORPORATION,,N,5225 WISCONSIN AVE NW,STE 503,WASHINGTON,DC,200152034,01/2025
O20030115000030,CA,00-08,PART A PROVIDER - HOSPICE,1750383071,N,51719,8527976349,L & A CARE CORPORATION,ROZE ROOM HOSPICE,07/14/1997,CA,CORPORATION,,P,5000 OVERLAND AVE,STE 101,CULVER CITY,CA,902304969,01/2025
O20030122000010,CA,00-08,PART A PROVIDER - HOSPICE,1497758593,N,51757,6305754193,"HOSPICE TOUCH, INC.",BRISTOL HOSPICE - ORANGE COUNTY,12/17/2001,CA,CORPORATION,,P,3070 BRISTOL ST,STE 100,COSTA MESA,CA,926267334,01/2025
O20030124000007,CO,00-08,PART A PROVIDER - HOSPICE,1427041227,Y,61527,8921916727,HOPEWEST,VECTRA BANK COLORADO,10/05/1992,CO,OTHER,501 (C) (3),N,2754 COMPASS DR,STE 377,GRAND JUNCTION,CO,815068723,01/2025
O20030129000016,CO,00-08,PART A PROVIDER - HOSPICE,1194732123,N,61515,1658289301,"ARKANSAS VALLEY HOSPICE, INC",ARKANSAS VALLEY HOSPICE,12/23/1985,CO,CORPORATION,,N,531 LEWIS AVE,,LA JUNTA,CO,810501738,01/2025
O20030129000022,CA,00-08,PART A PROVIDER - HOSPICE,1518962083,N,51573,446168199,HOSPICE OF SAN JOAQUIN,,11/13/1980,CA,CORPORATION,,N,3888 PACIFIC AVE,,STOCKTON,CA,952041953,01/2025
O20030130000018,MO,00-08,PART A PROVIDER - HOSPICE,1073548905,N,261506,5991613655,SAINT LUKE'S HEALTH SYSTEM HOME CARE AND HOSPICE,SAINT LUKE'S HOME CARE AND HOSPICE,04/01/1978,MO,CORPORATION,,N,3516 SUMMIT ST,,KANSAS CITY,MO,641112804,01/2025
O20030207000013,WI,00-08,PART A PROVIDER - HOSPICE,1407853112,N,521571,6901715663,"SEASONS HOSPICE & PALLIATIVE CARE OF WISCONSIN, LLC",ACCENTCARE HOSPICE & PALLIATIVE CARE OF WISCONSIN,,,LLC,,P,6737 W WASHINGTON ST,STE 2150,WEST ALLIS,WI,532145649,01/2025
O20030207000041,PA,00-08,PART A PROVIDER - HOSPICE,1629018841,N,391502,3375452048,"CHANDLER HALL HEALTH SERVICES, INC",,04/12/1985,PA,CORPORATION,,N,99 BARCLAY ST,,NEWTOWN,PA,189401593,01/2025
O20030212000007,MO,00-08,PART A PROVIDER - HOSPICE,1427093988,N,261581,1254240849,CROSSROADS HOSPICE OF KANSAS CITY,,04/21/1997,MO,LLC,,P,14310 E 42ND STREET,UNIT 600,INDEPENDENCE,MO,640557308,01/2025
O20030218000013,MT,00-08,PART A PROVIDER - HOSPICE,1538111265,N,271526,9133038706,SHERIDAN MEMORIAL HOSPITAL ASSOCIATION,SHERIDAN MEMORIAL HOSPICE,03/01/1922,MT,CORPORATION,,N,440 W LAUREL AVE,,PLENTYWOOD,MT,592541526,01/2025
